qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
5122,866,817,5,16,14,01:15.6,01:15.1,
5123,866,815,15,15,15,01:15.3,01:15.2,
5124,866,811,3,19,16,01:15.0,01:15.2,
5125,866,813,3,18,17,01:15.0,01:15.2,
5126,866,5,207,20,18,01:16.3,,
5127,866,808,207,21,19,01:16.5,,
5128,866,818,5,17,20,01:16.6,,
5129,866,37,164,22,21,01:17.5,,
5130,866,10,206,24,22,01:17.9,,
5131,866,819,206,25,23,01:18.3,,
5132,866,39,164,23,24,01:18.3,,
5133,867,20,9,1,1,01:39.6,01:38.5,01:38.1
5134,867,1,1,4,2,01:39.2,01:38.6,01:38.4
5135,867,813,3,18,3,01:38.8,01:38.6,01:38.5
5136,867,154,208,10,4,01:39.5,01:38.5,01:38.5
5137,867,8,208,9,5,01:39.5,01:38.5,01:38.5
5138,867,3,131,8,6,01:39.1,01:38.5,01:38.6
5139,867,155,15,14,7,01:39.7,01:38.7,01:38.7
5140,867,807,10,12,8,01:39.0,01:38.7,01:38.8
5141,867,18,1,3,9,01:39.6,01:38.6,01:38.8
5142,867,814,10,11,10,01:38.9,01:38.5,01:39.0
5143,867,4,6,5,11,01:39.4,01:38.7,
5144,867,30,131,7,12,01:39.4,01:38.8,
5145,867,13,6,6,13,01:39.4,01:38.8,
5146,867,811,3,19,14,01:39.4,01:39.2,
5147,867,815,15,15,15,01:39.4,01:39.4,
5148,867,5,207,20,16,01:40.1,01:40.3,
5149,867,817,5,16,17,01:39.9,01:40.4,
5150,867,818,5,17,18,01:40.2,,
5151,867,17,9,2,19,01:40.4,,
5152,867,808,207,21,20,01:40.5,,
5153,867,37,164,22,21,01:42.2,,
5154,867,39,164,23,22,01:42.5,,
5155,867,819,206,25,23,01:42.7,,
5156,868,4,6,5,1,01:46.5,01:56.9,01:51.7
5157,868,17,9,2,2,01:47.3,01:55.9,01:51.8
5158,868,30,131,7,3,01:46.6,01:55.8,01:52.0
5159,868,20,9,1,4,01:46.3,01:56.9,01:52.2
5160,868,13,6,6,5,01:47.4,01:56.4,01:53.1
5161,868,8,208,9,6,01:47.3,01:56.5,01:53.3
5162,868,813,3,18,7,01:46.4,01:56.8,01:53.5
5163,868,1,1,4,8,01:47.4,01:54.9,01:53.5
5164,868,807,10,12,9,01:46.3,01:55.6,01:54.4
5165,868,154,208,10,10,01:47.0,01:56.4,
5166,868,814,10,11,11,01:47.6,01:57.0,
5167,868,155,15,14,12,01:46.6,01:57.1,
5168,868,3,131,8,13,01:47.7,01:57.1,
5169,868,817,5,16,14,01:47.3,01:57.1,
5170,868,811,3,19,15,01:47.1,01:57.4,
5171,868,818,5,17,16,01:47.7,01:57.7,
5172,868,815,15,15,17,01:46.5,01:57.9,
5173,868,18,1,3,18,01:48.0,,
5174,868,808,207,21,19,01:49.0,,
5175,868,5,207,20,20,01:49.5,,
5176,868,10,206,24,21,01:51.6,,
5177,868,37,164,22,22,01:52.7,,
5178,868,39,164,23,23,01:53.0,,
5179,868,819,206,25,24,01:54.1,,
5180,869,4,6,5,1,01:16.1,01:38.5,01:40.6
5181,869,20,9,1,2,01:16.4,01:38.3,01:41.0
5182,869,17,9,2,3,01:16.5,01:39.4,01:41.5
5183,869,30,131,7,4,01:16.7,01:38.0,01:42.5
5184,869,807,10,12,5,01:16.3,01:39.5,01:43.5
5185,869,813,3,18,6,01:16.2,01:38.7,01:44.0
5186,869,18,1,3,7,01:16.5,01:38.7,01:44.1
5187,869,1,1,4,8,01:16.2,01:37.4,01:44.2
5188,869,814,10,11,9,01:16.4,01:39.7,01:44.9
5189,869,8,208,9,10,01:15.7,01:39.7,01:45.8
5190,869,817,5,16,11,01:16.5,01:39.8,
5191,869,815,15,15,12,01:15.7,01:39.9,
5192,869,155,15,14,13,01:16.5,01:40.0,
5193,869,13,6,6,14,01:16.3,01:40.2,
5194,869,154,208,10,15,01:16.7,01:40.6,
5195,869,811,3,19,16,01:16.4,01:40.8,
5196,869,3,131,8,17,01:16.0,01:41.6,
5197,869,818,5,17,18,01:16.7,,
5198,869,5,207,20,19,01:17.6,,
5199,869,808,207,21,20,01:18.5,,
5200,869,819,206,25,21,01:19.2,,
5201,869,10,206,24,22,01:19.3,,
5202,869,37,164,22,23,01:19.9,,
5203,869,39,164,23,24,01:20.2,,
5204,870,1,1,4,1,01:21.8,01:21.1,01:21.0
5205,870,154,208,10,2,01:22.8,01:21.7,01:21.4
5206,870,20,9,1,3,01:22.9,01:21.4,01:21.4
5207,870,18,1,3,4,01:22.0,01:21.6,01:21.6
5208,870,8,208,9,5,01:22.2,01:21.6,01:21.7
5209,870,4,6,5,6,01:22.1,01:21.6,01:21.8
5210,870,13,6,6,7,01:22.2,01:21.5,01:21.9
5211,870,813,3,18,8,01:22.5,01:21.5,01:21.9
5212,870,811,3,19,9,01:22.3,01:21.7,01:22.3
5213,870,807,10,12,10,01:22.2,01:21.7,01:22.8
5214,870,17,9,2,11,01:22.8,01:21.7,
5215,870,814,10,11,12,01:21.9,01:21.8,
5216,870,3,131,8,13,01:22.1,01:21.9,
5217,870,815,15,15,14,01:22.1,01:21.9,
5218,870,155,15,14,15,01:22.8,01:22.3,
5219,870,818,5,17,16,01:22.8,01:22.4,
5220,870,30,131,7,17,01:22.4,01:22.7,
5221,870,817,5,16,18,01:23.3,,
5222,870,5,207,20,19,01:23.6,,
5223,870,808,207,21,20,01:24.2,,
5224,870,819,206,25,21,01:25.2,,
5225,870,10,206,24,22,01:25.5,,
5226,870,37,164,22,23,01:25.9,,
5227,870,39,164,23,24,01:26.2,,
5228,871,18,1,3,1,01:49.3,01:47.7,01:47.6
5229,871,155,15,14,2,01:49.7,01:48.6,01:47.9
5230,871,813,3,18,3,01:49.0,01:48.8,01:47.9
5231,871,8,208,9,4,01:49.5,01:48.4,01:48.2
5232,871,815,15,15,5,01:49.6,01:48.0,01:48.2
5233,871,4,6,5,6,01:49.4,01:48.6,01:48.3
5234,871,17,9,2,7,01:49.9,01:48.5,01:48.4
5235,871,1,1,4,8,01:49.6,01:48.6,01:48.4
5236,871,154,208,10,9,01:50.1,01:48.7,01:48.5
5237,871,814,10,11,10,01:50.0,01:48.7,01:48.9
5238,871,20,9,1,11,01:49.7,01:48.8,
5239,871,807,10,12,12,01:49.4,01:48.9,
5240,871,30,131,7,13,01:49.7,01:49.1,
5241,871,13,6,6,14,01:49.6,01:49.1,
5242,871,818,5,17,15,01:49.8,01:49.4,
5243,871,817,5,16,16,01:49.6,01:49.5,
5244,871,811,3,19,17,01:50.0,01:50.1,
5245,871,3,131,8,18,01:50.2,,
5246,871,5,207,20,19,01:51.7,,
5247,871,808,207,21,20,01:52.0,,
5248,871,10,206,24,21,01:52.3,,
5249,871,37,164,22,22,01:53.0,,
5250,871,819,206,25,23,01:53.5,,
5251,871,39,164,23,24,01:55.0,,
5252,872,1,1,4,1,01:24.2,01:24.4,01:24.0
5253,872,18,1,3,2,01:24.7,01:24.3,01:24.1
5254,872,13,6,6,3,01:24.9,01:24.5,01:24.2
5255,872,814,10,11,4,01:24.9,01:24.3,01:24.3
5256,872,30,131,7,5,01:25.3,01:24.7,01:24.5
5257,872,20,9,1,6,01:25.0,01:24.7,01:24.8
5258,872,3,131,8,7,01:24.7,01:24.5,01:24.8
5259,872,8,208,9,8,01:25.2,01:24.7,01:24.9
5260,872,155,15,14,9,01:25.3,01:24.7,01:25.1
5261,872,4,6,5,10,01:24.2,01:24.2,01:25.7
5262,872,17,9,2,11,01:25.6,01:24.8,
5263,872,813,3,18,12,01:25.1,01:24.8,
5264,872,815,15,15,13,01:25.3,01:24.9,
5265,872,811,3,19,14,01:25.1,01:25.0,
5266,872,817,5,16,15,01:25.7,01:25.3,
5267,872,816,208,10,16,01:25.8,01:25.4,
5268,872,818,5,17,17,01:25.6,01:25.4,
5269,872,5,207,20,18,01:26.4,,
5270,872,808,207,21,19,01:26.9,,
5271,872,10,206,24,20,01:27.0,,
5272,872,819,206,25,21,01:27.1,,
5273,872,39,164,23,22,01:27.4,,
5274,872,37,164,22,23,01:27.6,,
5275,873,1,1,4,1,01:48.3,01:46.7,01:46.4
5276,873,813,3,18,2,01:49.5,01:47.6,01:46.8
5277,873,20,9,1,3,01:48.2,01:46.8,01:46.9
5278,873,18,1,3,4,01:49.4,01:47.7,01:46.9
5279,873,4,6,5,5,01:49.4,01:47.6,01:47.2
5280,873,814,10,11,6,01:48.0,01:47.7,01:47.2
5281,873,17,9,2,7,01:48.7,01:47.5,01:47.5
5282,873,154,208,10,8,01:47.7,01:47.5,01:47.8
5283,873,30,131,7,9,01:49.5,01:47.8,
5284,873,3,131,8,10,01:49.5,01:47.9,
5285,873,807,10,12,11,01:49.5,01:48.0,
5286,873,8,208,9,12,01:48.2,01:48.3,
5287,873,13,6,6,13,01:49.8,01:48.3,
5288,873,815,15,15,14,01:49.1,01:48.5,
5289,873,817,5,16,15,01:49.0,01:48.8,
5290,873,818,5,17,16,01:49.6,01:48.8,
5291,873,811,3,19,17,01:49.8,,
5292,873,155,15,14,18,01:49.9,,
5293,873,808,207,21,19,01:50.8,,
5294,873,5,207,20,20,01:51.1,,
5295,873,10,206,24,21,01:51.4,,
5296,873,819,206,25,22,01:51.8,,
5297,873,39,164,23,23,01:52.4,,
5298,873,37,164,22,24,01:53.4,,
5299,874,20,9,1,1,01:32.6,01:31.5,01:30.8
5300,874,17,9,2,2,01:33.0,01:32.0,01:31.1
5301,874,18,1,3,3,01:33.1,01:31.8,01:31.3
5302,874,155,15,14,4,01:32.0,01:31.9,01:31.7
5303,874,154,208,10,5,01:32.0,01:32.0,01:31.9
5304,874,815,15,15,6,01:32.1,01:32.2,01:32.0
5305,874,4,6,5,7,01:32.5,01:31.8,01:32.1
5306,874,8,208,9,8,01:32.2,01:31.8,01:32.2
5307,874,1,1,4,9,01:33.1,01:32.1,01:32.3
5308,874,807,10,12,10,01:32.8,01:32.3,
5309,874,13,6,6,11,01:32.9,01:32.3,
5310,874,814,10,11,12,01:32.9,01:32.3,
5311,874,30,131,7,13,01:33.3,01:32.5,
5312,874,813,3,18,14,01:32.8,01:32.5,
5313,874,3,131,8,15,01:33.0,01:32.6,
5314,874,817,5,16,16,01:33.1,01:33.0,
5315,874,818,5,17,17,01:33.4,01:33.4,
5316,874,811,3,19,18,01:33.4,,
5317,874,5,207,20,19,01:34.7,,
5318,874,10,206,24,20,01:35.2,,
5319,874,37,164,22,21,01:35.4,,
5320,874,819,206,25,22,01:35.4,,
5321,874,808,207,21,23,01:35.4,,
5322,874,39,164,23,24,01:36.7,,
5323,875,17,9,2,1,01:38.4,01:38.2,01:37.2
5324,875,20,9,1,2,01:38.2,01:37.8,01:37.3
5325,875,1,1,4,3,01:39.2,01:38.0,01:37.5
5326,875,4,6,5,4,01:39.1,01:38.0,01:37.5
5327,875,8,208,9,5,01:38.9,01:38.2,01:37.6
5328,875,13,6,6,6,01:38.9,01:38.3,01:37.9
5329,875,154,208,10,7,01:38.9,01:38.3,01:37.9
5330,875,807,10,12,8,01:39.0,01:38.4,01:38.3
5331,875,3,131,8,9,01:39.0,01:38.4,01:38.4
5332,875,30,131,7,10,01:38.8,01:38.4,01:38.5
5333,875,18,1,3,11,01:38.6,01:38.4,
5334,875,815,15,15,12,01:38.6,01:38.5,
5335,875,155,15,14,13,01:38.7,01:38.6,
5336,875,814,10,11,14,01:38.9,01:38.6,
5337,875,813,3,18,15,01:39.0,01:38.7,
5338,875,817,5,16,16,01:38.8,01:39.1,
5339,875,818,5,17,17,01:38.7,01:39.3,
5340,875,811,3,19,18,01:39.4,,
5341,875,808,207,21,19,01:40.2,,
5342,875,5,207,20,20,01:40.3,,
5343,875,819,206,25,21,01:41.3,,
5344,875,10,206,24,22,01:41.4,,
5345,875,37,164,22,23,01:42.9,,
5346,876,20,9,1,1,01:26.4,01:25.4,01:25.3
5347,876,17,9,2,2,01:26.7,01:25.6,01:25.3
5348,876,1,1,4,3,01:26.5,01:25.8,01:25.5
5349,876,18,1,3,4,01:26.6,01:25.5,01:25.7
5350,876,4,6,5,5,01:26.8,01:25.8,01:25.8
5351,876,13,6,6,6,01:26.9,01:26.1,01:25.9
5352,876,8,208,9,7,01:26.7,01:26.1,01:26.2
5353,876,815,15,15,8,01:27.2,01:26.1,01:26.4
5354,876,813,3,18,9,01:26.0,01:26.0,01:26.7
5355,876,3,131,8,10,01:26.5,01:26.0,
5356,876,154,208,10,11,01:26.9,01:26.1,
5357,876,807,10,12,12,01:27.2,01:26.2,
5358,876,811,3,19,13,01:26.9,01:26.3,
5359,876,30,131,7,14,01:27.5,01:26.6,
5360,876,817,5,16,15,01:27.0,01:26.8,
5361,876,814,10,11,16,01:27.5,01:27.0,
5362,876,155,15,14,17,01:27.5,01:27.2,
5363,876,818,5,17,18,01:27.5,,
5364,876,808,207,21,19,01:28.8,,
5365,876,5,207,20,20,01:29.5,,
5366,876,10,206,24,21,01:29.6,,
5367,876,37,164,22,22,01:30.6,,
5368,876,39,164,23,23,01:30.6,,
5369,876,819,206,25,24,01:30.7,,
5370,877,1,1,4,1,01:41.5,01:40.9,01:40.6
5371,877,17,9,2,2,01:41.9,01:41.3,01:41.0
5372,877,20,9,1,3,01:42.2,01:41.5,01:41.1
5373,877,813,3,18,4,01:42.0,01:41.9,01:41.2
5374,877,8,208,9,5,01:42.2,01:41.5,01:41.3
5375,877,18,1,3,6,01:42.3,01:41.9,01:41.3
5376,877,4,6,5,7,01:41.9,01:41.5,01:41.6
5377,877,3,131,8,8,01:41.9,01:41.7,01:41.6
5378,877,13,6,6,9,01:42.0,01:41.8,01:41.7
5379,877,154,208,10,10,01:42.0,01:41.6,01:41.8
5380,877,807,10,12,11,01:42.6,01:42.0,
5381,877,815,15,15,12,01:42.6,01:42.1,
5382,877,814,10,11,13,01:42.6,01:42.2,
5383,877,30,131,7,14,01:42.7,01:42.3,
5384,877,811,3,19,15,01:43.3,01:42.3,
5385,877,155,15,14,16,01:43.6,01:42.6,
5386,877,817,5,16,17,01:43.3,01:42.8,
5387,877,818,5,17,18,01:44.1,,
5388,877,5,207,20,19,01:45.0,,
5389,877,819,206,25,20,01:45.1,,
5390,877,808,207,21,21,01:45.2,,
5391,877,10,206,24,22,01:45.4,,
5392,877,37,164,22,23,01:45.8,,
5393,877,39,164,23,24,01:46.4,,
5394,878,20,9,1,1,01:36.6,01:35.8,01:35.7
5395,878,1,1,4,2,01:37.1,01:36.8,01:35.8
5396,878,17,9,2,3,01:37.2,01:36.3,01:36.2
5397,878,154,208,10,4,01:37.5,01:36.9,01:36.6
5398,878,8,208,9,5,01:38.1,01:37.4,01:36.7
5399,878,30,131,7,6,01:37.9,01:37.1,01:36.8
5400,878,13,6,6,7,01:37.7,01:36.5,01:36.9
5401,878,807,10,12,8,01:37.8,01:37.1,01:37.1
5402,878,4,6,5,9,01:38.0,01:37.1,01:37.3
5403,878,813,3,18,10,01:37.5,01:37.0,01:37.8
5404,878,811,3,19,11,01:37.5,01:37.6,
5405,878,18,1,3,12,01:37.6,01:37.6,
5406,878,814,10,11,13,01:38.1,01:37.7,
5407,878,818,5,17,14,01:38.4,01:37.9,
5408,878,815,15,15,15,01:38.5,01:38.2,
5409,878,155,15,14,16,01:38.4,01:38.4,
5410,878,3,131,8,17,01:38.9,01:38.5,
5411,878,817,5,16,18,01:39.1,,
5412,878,10,206,24,19,01:40.1,,
5413,878,819,206,25,20,01:40.7,,
5414,878,808,207,21,21,01:40.8,,
5415,878,5,207,20,22,01:41.2,,
5416,878,37,164,22,23,01:42.0,,
5417,878,39,164,23,24,01:42.7,,
5418,879,1,1,4,1,01:15.1,01:13.4,01:12.5
5419,879,18,1,3,2,01:15.5,01:13.5,01:12.5
5420,879,17,9,2,3,01:16.2,01:13.7,01:12.6
5421,879,20,9,1,4,01:15.6,01:13.2,01:12.8
5422,879,13,6,6,5,01:16.3,01:14.0,01:13.0
5423,879,813,3,18,6,01:16.3,01:13.7,01:13.2
5424,879,807,10,12,7,01:15.5,01:13.7,01:13.2
5425,879,4,6,5,8,01:16.1,01:13.9,01:13.3
5426,879,8,208,9,9,01:16.4,01:13.7,01:13.3
5427,879,3,131,8,10,01:15.9,01:13.8,01:13.5
5428,879,814,10,11,11,01:15.9,01:14.1,
5429,879,811,3,19,12,01:15.3,01:14.2,
5430,879,815,15,15,13,01:16.0,01:14.2,
5431,879,30,131,7,14,01:16.0,01:14.3,
5432,879,155,15,14,15,01:16.4,01:14.4,
5433,879,817,5,16,16,01:16.7,01:14.6,
5434,879,818,5,17,17,01:16.7,01:14.6,
5435,879,154,208,10,18,01:17.0,,
5436,879,808,207,21,19,01:17.1,,
5437,879,5,207,20,20,01:17.1,,
5438,879,10,206,24,21,01:17.5,,
5439,879,819,206,25,22,01:18.1,,
5440,879,39,164,23,23,01:19.6,,
5441,879,37,164,22,24,01:19.7,,
5442,880,20,9,1,1,01:44.7,01:36.7,01:27.4
5443,880,17,9,2,2,01:44.5,01:36.5,01:27.8
5444,880,1,131,10,3,01:45.5,01:36.6,01:28.1
5445,880,13,6,4,4,01:44.6,01:36.7,01:28.5
5446,880,4,6,3,5,01:43.9,01:36.7,01:28.5
5447,880,3,131,9,6,01:43.4,01:36.2,01:28.5
5448,880,8,208,7,7,01:45.5,01:37.5,01:28.7
5449,880,154,208,8,8,01:44.3,01:37.6,01:29.0
5450,880,814,10,14,9,01:45.6,01:36.9,01:29.3
5451,880,18,1,5,10,01:44.7,01:36.6,01:30.4
5452,880,807,15,11,11,01:45.9,01:38.1,
5453,880,16,10,15,12,01:47.3,01:38.1,
5454,880,818,5,18,13,01:44.9,01:38.8,
5455,880,817,5,19,14,01:46.5,01:39.0,
5456,880,815,1,6,15,01:44.4,01:39.9,
5457,880,822,3,17,16,01:47.3,01:40.3,
5458,880,813,3,16,17,01:47.6,,
5459,880,821,15,12,18,01:47.8,,
5460,880,824,206,22,19,01:48.1,,
5461,880,820,206,23,20,01:48.9,,
5462,880,823,207,21,21,01:49.5,,
5463,880,819,207,20,22,01:50.6,,
5464,881,20,9,1,1,01:37.9,01:37.2,01:49.7
5465,881,13,6,4,2,01:37.7,01:36.9,01:50.6
5466,881,4,6,3,3,01:37.3,01:36.9,01:50.7
5467,881,1,131,10,4,01:37.5,01:36.5,01:51.7
5468,881,17,9,2,5,01:37.6,01:36.4,01:52.2
5469,881,3,131,9,6,01:37.2,01:36.2,01:52.5
5470,881,8,208,7,7,01:37.0,01:36.6,01:53.0
5471,881,18,1,5,8,01:37.5,01:37.1,01:53.2
5472,881,16,10,15,9,01:36.8,01:36.8,01:53.4
5473,881,815,1,6,10,01:37.7,01:37.3,01:54.1
5474,881,154,208,8,11,01:37.4,01:37.6,
5475,881,807,15,11,12,01:37.9,01:38.1,
5476,881,817,5,19,13,01:37.7,01:38.8,
5477,881,821,15,12,14,01:37.7,01:39.2,
5478,881,814,10,14,15,01:37.5,01:44.5,
5479,881,813,3,16,16,01:37.9,,
5480,881,818,5,18,17,01:38.2,,
5481,881,822,3,17,18,01:38.2,,
5482,881,824,206,22,19,01:38.4,,
5483,881,819,207,20,20,01:39.3,,
5484,881,820,206,23,21,01:39.7,,
5485,881,823,207,21,22,01:39.9,,
5486,882,1,131,10,1,01:35.8,01:35.1,01:34.5
5487,882,8,208,7,2,01:37.0,01:35.7,01:34.8
5488,882,4,6,3,3,01:36.3,01:35.1,01:34.8
5489,882,3,131,9,4,01:36.0,01:35.5,01:34.9
5490,882,13,6,4,5,01:36.0,01:35.4,01:34.9
5491,882,154,208,8,6,01:36.9,01:36.1,01:35.4
5492,882,817,5,19,7,01:37.0,01:36.3,01:36.0
5493,882,18,1,5,8,01:36.7,01:35.8,02:05.7
5494,882,20,9,1,9,01:36.5,01:35.3,
5495,882,807,15,11,10,01:37.0,01:36.3,
5496,882,814,10,14,11,01:37.5,01:36.3,
5497,882,815,1,6,12,01:37.0,01:36.3,
5498,882,16,10,15,13,01:37.3,01:36.4,
5499,882,17,9,2,14,01:36.1,01:36.7,
5500,882,813,3,16,15,01:37.3,01:37.1,
5501,882,818,5,18,16,01:37.5,01:37.2,
5502,882,822,3,17,17,01:37.8,,
5503,882,821,15,12,18,01:38.0,,
5504,882,824,206,22,19,01:38.8,,
5505,882,820,206,23,20,01:39.5,,
5506,882,819,207,20,21,01:39.6,,
5507,882,823,207,21,22,01:39.7,,
5508,883,3,131,9,1,01:33.4,01:32.9,01:32.3
5509,883,20,9,1,2,01:33.3,01:32.7,01:32.6
5510,883,4,6,3,3,01:32.9,01:33.3,01:32.7
5511,883,1,131,10,4,01:33.5,01:33.3,01:32.8
5512,883,17,9,2,5,01:34.0,01:33.1,01:33.1
5513,883,13,6,4,6,01:33.8,01:33.4,01:33.2
5514,883,814,10,14,7,01:33.8,01:33.3,01:33.2
5515,883,16,10,15,8,01:34.0,01:33.4,01:33.2
5516,883,8,208,7,9,01:33.8,01:33.1,01:33.3
5517,883,18,1,5,10,01:34.1,01:33.7,
5518,883,154,208,8,11,01:33.5,01:33.8,
5519,883,815,1,6,12,01:34.3,01:33.9,
5520,883,817,5,19,13,01:34.1,01:34.0,
5521,883,807,15,11,14,01:34.4,01:34.0,
5522,883,822,3,17,15,01:34.4,01:34.1,
5523,883,818,5,18,16,01:34.3,01:34.3,
5524,883,813,3,16,17,01:34.4,,
5525,883,821,15,12,18,01:34.7,,
5526,883,819,207,20,19,01:35.3,,
5527,883,824,206,22,20,01:36.2,,
